id,nazwa_lotniska,kod_lotniska,kontynent_lotniska,szerokosc_geo,dlugosc_geo
1,Jos Orno Imsula Airport,JIO,AS,,
2,Zürich Airport,ZRH,EU,,
3,Bolling Air Force Base,BOF,NA,,
4,Puka Puka Airport,PKP,OC,,
5,James M Cox Dayton International Airport,DAY,NA,,
6,Bekily Airport,OVA,AF,,
7,Blosser Municipal Airport,CNK,NA,,
8,Shelby Airport,SBX,NA,,
9,Båtsfjord Airport,BJF,EU,,
10,Pilot Station Airport,PQS,NA,,
11,Corvallis Municipal Airport,CVO,NA,,
12,Afyon Airport,AFY,AS,,
13,Binbrook Airfield,GSY,EU,,
14,Mitiaro Island Airport,MOI,OC,,
15,Garoua International Airport,GOU,AF,,
16,Gnarowein Airport,GWN,OC,,
17,Estevan Airport,YEN,NA,,
18,Smara Airport,SMW,AF,,
19,Necocli Airport,NCI,SA,,
20,Tanah Merah Airport,TMH,AS,,
21,Richard Toll Airport,RDT,AF,,
22,Bora Bora Airport,BOB,OC,,
23,Beaumont Municipal Airport,BMT,NA,,
24,Wollongong Airport,WOL,OC,,
25,Olympic Dam Airport,OLP,OC,,
26,Wabo Airport,WAO,OC,,
27,Siena-Ampugnano Airport,SAY,EU,,
28,Aerodromo de Chaves,CHV,EU,,
29,Soroako Airport,SQR,AS,,
30,Ivishak Airport,IVH,NA,,
31,Brisbane Archerfield Airport,ACF,OC,,
32,Katsina Airport,DKA,AF,,
33,Beverly Municipal Airport,BVY,NA,,
34,Tuscola Area Airport,TZC,NA,,
35,Tobago-Crown Point Airport,TAB,NA,,
36,Ain el Beida Airport,OGX,AF,,
37,Huangyan Luqiao Airport,HYN,AS,,
38,Viracopos International Airport,VCP,SA,,
39,Ukiah Municipal Airport,UKI,NA,,
40,Perry Municipal Airport,PRO,NA,,
41,Columbia Gorge Regional the Dalles Municipal Airport,DLS,NA,,
42,Koulamoutou Mabimbi Airport,KOU,AF,,
43,Dinard-Pleurtuit-Saint-Malo Airport,DNR,EU,,
44,Aberdeen Regional Airport,ABR,NA,,
45,Maloelap Island Airport,MAV,OC,,
46,Fortescue - Dave Forrest Aerodrome,KFE,OC,,
47,Arua Airport,RUA,AF,,
48,Bantry Aerodrome,BYT,EU,,
49,Elista Airport,ESL,EU,,
50,General Abelardo L. Rodríguez International Airport,TIJ,NA,,
51,São Félix do Araguaia Airport,SXO,SA,,
52,Clarence A. Bain Airport,MAY,NA,,
53,Beersheba (Teyman) Airport,BEV,AS,,
54,Gaspé (Michel-Pouliot) Airport,YGP,NA,,
55,Drumduff Airport,DFP,OC,,
56,Zahn's Airport,AYZ,NA,,
57,St George Airport,STG,NA,,
58,Farewell Airport,FWL,NA,,
59,Tekirdağ Çorlu Airport,TEQ,EU,,
60,Catarman National Airport,CRM,AS,,
61,Manitouwadge Airport,YMG,NA,,
62,Comandante Espora Airport,BHI,SA,,
63,John A. Osborne Airport,MNI,NA,,
64,Rustaq Airport,MNH,AS,,
65,Tocumwal Airport,TCW,OC,,
66,Stroudsburg Pocono Airport,ESP,NA,,
67,Matei Airport,TVU,OC,,
68,Laramie Regional Airport,LAR,NA,,
69,Jabiru Airport,JAB,OC,,
70,Nacala Airport,MNC,AF,,
71,Bade Airport,BXD,AS,,
72,Phaplu Airport,PPL,AS,,
73,Ceres Airport,0,SA,,
74,Kiunga Airport,KIU,AF,,
75,Caye Chapel Airport,CYC,NA,,
76,Tibooburra Airport,TYB,OC,,
77,Overberg Airport,OVG,AF,,
78,Taliabu Island Airport,TAX,AS,,
79,Cibeureum Airport,TSY,AS,,
80,Leon Airport,LEN,EU,,
81,Yariguíes Airport,EJA,SA,,
82,Lonorore Airport,LNE,OC,,
83,São Pedro Airport,VXE,AF,,
84,Shelby Airport,SBX,NA,,
85,Cimitarra Airport,CIM,SA,,
86,Salisbury Ocean City Wicomico Regional Airport,SBY,NA,,
87,Atlantic City Municipal Bader Field,AIY,NA,,
88,Lyndhurst Airport,LTP,OC,,
89,Leonora Airport,LNO,OC,,
90,Kennett Memorial Airport,KNT,NA,,
91,Licenciado Manuel Crescencio Rejon Int Airport,MID,NA,,
92,Alma Airport,YTF,NA,,
93,Mullewa Airport,MXU,OC,,
94,Wausau Downtown Airport,AUW,NA,,
95,Uvol Airport,UVO,OC,,
96,Moose Jaw Air Vice Marshal C. M. McEwen Airport,YMJ,NA,,
97,Kiwai Airport,KWX,OC,,
98,Sedona Airport,SDX,NA,,
99,Araguaína Airport,AUX,SA,,
100,Daocheng Yading Airport,DCY,AS,,
